City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Buffalo,42.8865,-78.8784,18.34,72,100,7.77,US,1637193472
Winston-Salem,36.0999,-80.2442,17.62,67,0,3.47,US,1637193771
Chesapeake,36.819,-76.2749,18.32,69,1,2.24,US,1637193659
Fremont,37.5483,-121.9886,20.52,59,20,1.79,US,1637193546
Norfolk,42.1668,-71.2495,8.81,76,75,0.45,US,1637193887
Irving,32.814,-96.9489,22.35,40,1,3.6,US,1637193634
Garland,32.9126,-96.6389,22.3,46,90,0.45,US,1637193763
Paradise,36.0972,-115.1467,21.89,22,1,5.36,US,1637193638
Arlington,32.7357,-97.1081,22.03,40,1,2.24,US,1637193731
Richmond,37.5538,-77.4603,18.36,74,20,4.63,US,1637193629
Hialeah,25.8576,-80.2781,26.12,77,95,0.45,US,1637193603
Boise,43.6135,-116.2035,5.57,46,1,3.09,US,1637193886
Spokane,47.6166,-117.3677,2.97,55,93,0.89,US,1637193554
Frisco,33.1507,-96.8236,21.88,44,53,1.79,US,1637193889
Moreno Valley,33.9375,-117.2306,25.25,48,1,0.89,US,1637193889
Tacoma,47.2529,-122.4443,8.61,74,1,0.45,US,1637193889
Fontana,34.0922,-117.4351,25.86,43,1,0.45,US,1637193616
Modesto,37.6391,-120.9969,17.34,75,71,2.09,US,1637193658
Baton Rouge,30.4508,-91.1545,21.03,84,88,0.45,US,1637193626
Port St. Lucie,27.2939,-80.3503,25.58,76,40,1.34,US,1637193720
San Bernardino,34.6667,-116.1675,23.92,17,47,2.19,US,1637193890
McKinney,33.1976,-96.6153,22.16,48,90,5.14,US,1637193890
Fayetteville,35.0527,-78.8784,18.82,51,1,0.45,US,1637193891
Santa Clarita,34.3917,-118.5426,24.14,50,1,0.45,US,1637193878
Des Moines,41.6005,-93.6091,6.45,53,1,0.45,US,1637193686
Oxnard,34.1975,-119.177,23.92,75,1,3.09,US,1637193667
Birmingham,33.5207,-86.8025,18.85,74,4,2.87,US,1637193600
Spring Valley,36.108,-115.245,21.74,20,20,1.34,US,1637193891
Huntsville,34.7304,-86.5861,19.06,74,1,5.36,US,1637193687
Rochester,43.1548,-77.6156,14.71,73,75,1.34,US,1637193892
Cape Coral,26.5629,-81.9495,24.44,73,100,0.45,US,1637193618
Tempe,33.4148,-111.9093,26.69,20,75,0.45,US,1637193892
Grand Rapids,42.9634,-85.6681,9.54,93,75,0.45,US,1637193827
Yonkers,40.9312,-73.8988,13.84,83,1,2.06,US,1637193854
Overland Park,38.9822,-94.6708,9.62,39,58,1.34,US,1637193601
Salt Lake City,40.7608,-111.8911,6.19,43,1,1.79,US,1637193602
Amarillo,35.222,-101.8313,7.92,27,1,2.68,US,1637193703
Augusta,48.3667,10.8833,5.28,90,90,3.09,DE,1637193778
Columbus,39.9612,-82.9988,19.23,68,75,2.68,US,1637193812
Tallahassee,30.4383,-84.2807,20.29,88,20,0.0,US,1637193665
Montgomery,39.1501,-77.1997,13.72,77,1,1.54,US,1637193893
Huntington Beach,33.6603,-117.9992,24.36,72,20,1.34,US,1637193894
Akron,41.0814,-81.519,18.48,67,90,1.34,US,1637193894
Little Rock,34.7465,-92.2896,22.05,74,74,1.79,US,1637193662
Glendale,33.5387,-112.186,26.75,21,1,0.89,US,1637193609
Grand Prairie,32.746,-96.9978,22.22,38,1,3.6,US,1637193895
Aurora,39.7294,-104.8319,3.06,41,20,1.34,US,1637193735
Sunrise Manor,36.2111,-115.0731,22.34,19,9,4.02,US,1637193618
Ontario,34.0633,-117.6509,25.77,45,40,0.89,US,1637193865
Sioux Falls,43.55,-96.7003,2.76,51,1,5.66,US,1637193676
Knoxville,35.9606,-83.9207,17.78,70,1,0.0,US,1637193874
Vancouver,49.2497,-123.1193,7.15,72,100,0.89,CA,1637193850
Mobile,30.7835,-88.2,20.91,82,0,1.85,US,1637193618
Worcester,42.3334,-71.8328,7.4,72,90,0.89,US,1637193896
Chattanooga,35.0456,-85.3097,16.79,78,0,2.14,US,1637193676
Brownsville,25.9018,-97.4975,26.16,75,1,1.34,US,1637193896
Peoria,40.7667,-89.7668,8.46,64,90,3.6,US,1637193896
Fort Lauderdale,26.1223,-80.1434,26.12,74,97,6.92,US,1637193614
Shreveport,32.5251,-93.7502,24.03,64,1,3.09,US,1637193832
Newport News,36.9788,-76.428,18.32,69,20,3.6,US,1637193897
Providence,41.824,-71.4128,10.54,78,90,1.54,US,1637193851
Elk Grove,38.4088,-121.3716,17.21,79,1,0.89,US,1637193897
Rancho Cucamonga,34.1064,-117.5931,25.32,44,40,1.34,US,1637193784
Salem,11.65,78.1667,22.48,97,100,1.53,IN,1637193898
Pembroke Pines,26.0032,-80.2239,26.12,76,90,5.66,US,1637193898
Santa Rosa,14.3122,121.1114,28.81,70,94,3.93,PH,1637193898
Eugene,44.0521,-123.0867,9.18,82,98,0.45,US,1637193653
Oceanside,33.1959,-117.3795,23.35,74,1,0.89,US,1637193899
Cary,35.7915,-78.7811,17.25,63,1,3.09,US,1637193899
Fort Collins,40.5853,-105.0844,3.09,44,35,1.34,US,1637193600
Corona,33.8753,-117.5664,26.17,50,1,1.34,US,1637193721
Enterprise,36.0252,-115.2419,21.38,21,20,1.79,US,1637193777
Garden Grove,33.7739,-117.9415,25.28,65,1,1.34,US,1637193627
Springfield,37.2153,-93.2982,10.01,58,90,3.13,US,1637193685
Clarksville,36.5298,-87.3595,20.14,65,90,2.06,US,1637193900
Bayamon,18.3986,-66.1557,27.95,85,40,2.24,PR,1637193900
Lakewood,39.7047,-105.0814,2.85,43,20,1.34,US,1637193751
Alexandria,31.2156,29.9553,20.51,73,2,3.37,EG,1637193896
Hayward,37.6688,-122.0808,20.27,57,69,0.45,US,1637193625
Murfreesboro,35.8456,-86.3903,19.86,71,90,3.09,US,1637193770
Killeen,31.1171,-97.7278,24.34,63,1,2.06,US,1637193901
Hollywood,34.0983,-118.3267,24.73,69,28,0.89,US,1637193602
Lancaster,40.2504,-76.2499,12.21,85,1,1.54,US,1637193688
Salinas,36.6777,-121.6555,20.55,60,1,3.6,US,1637193901
Jackson,42.4165,-122.8345,10.8,64,100,0.45,US,1637193670
Midland,31.9974,-102.0779,16.94,32,1,5.66,US,1637193687
Macon County,39.8667,-88.9668,8.39,69,100,4.73,US,1637193715
Kansas City,39.0997,-94.5786,9.7,38,54,5.81,US,1637193611
Palmdale,34.5794,-118.1165,23.23,20,1,1.34,US,1637193902
Sunnyvale,37.3688,-122.0363,20.3,53,1,0.45,US,1637193636
Springfield,37.2153,-93.2982,10.01,58,90,3.13,US,1637193685
Escondido,33.1192,-117.0864,23.68,68,1,2.24,US,1637193845
Pomona,34.0553,-117.7523,25.78,47,1,3.09,US,1637193814
Bellevue,47.6104,-122.2007,8.8,67,100,0.45,US,1637193573
Surprise,33.6306,-112.3332,26.7,21,1,0.45,US,1637193903
Naperville,41.7859,-88.1473,9.19,69,90,0.45,US,1637193739
Pasadena,29.6911,-95.2091,25.77,80,20,2.24,US,1637193684
Denton,33.2001,-97.1336,21.41,43,1,1.34,US,1637193769
Roseville,38.7521,-121.288,18.61,81,1,0.89,US,1637193405
Joliet,41.525,-88.0817,9.55,81,90,0.89,US,1637193786
Thornton,39.868,-104.9719,3.23,42,20,1.79,US,1637193701
McAllen,26.2034,-98.23,27.82,64,12,0.45,US,1637193622
Paterson,40.9168,-74.1718,13.9,85,1,0.0,US,1637193904
Rockford,42.2711,-89.094,8.21,46,90,6.69,US,1637193904
Carrollton,32.9537,-96.8903,22.19,42,40,0.45,US,1637193904
Bridgeport,41.167,-73.2048,13.4,75,92,2.68,US,1637193669
Miramar,25.9873,-80.2323,26.12,76,90,5.66,US,1637193905
Round Rock,30.5083,-97.6789,25.01,63,1,2.24,US,1637193905
Metairie,29.9841,-90.1528,22.78,75,1,1.79,US,1637193822
Olathe,38.8814,-94.8191,9.73,41,57,0.45,US,1637193628
Waco,31.5493,-97.1467,25.41,62,1,0.45,US,1637193658
