,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,Lubbock,33.6001,-101.8338,14.65,38,20,4.02,US,1636821329
85,Madison,34.7334,-86.5667,8.94,54,1,0.45,US,1636821428
86,Gilbert,33.3528,-111.789,25.68,26,1,0.89,US,1636821411
87,Jersey City,40.7282,-74.0776,18.47,56,75,11.62,US,1636821541
88,Glendale,33.5387,-112.186,25.23,26,1,0.0,US,1636821352
89,Buffalo,42.8865,-78.8784,5.38,89,75,4.12,US,1636821619
90,Winston-Salem,36.0999,-80.2442,16.21,47,1,6.69,US,1636821619
91,Chesapeake,36.819,-76.2749,20.55,45,1,2.68,US,1636821619
92,Fremont,37.5483,-121.9886,21.07,91,90,0.0,US,1636821325
93,Norfolk,42.1668,-71.2495,16.48,58,1,0.45,US,1636821620
94,Irving,32.814,-96.9489,14.72,40,75,0.89,US,1636821420
95,Garland,32.9126,-96.6389,14.42,38,1,0.45,US,1636821608
96,Paradise,36.0972,-115.1467,20.82,35,20,1.54,US,1636821620
97,Arlington,32.7357,-97.1081,14.62,40,1,1.34,US,1636821521
98,Richmond,37.5538,-77.4603,18.1,47,40,4.47,US,1636821544
99,Hialeah,25.8576,-80.2781,30.01,66,75,2.68,US,1636821621
100,Boise,43.6135,-116.2035,12.06,91,1,3.09,US,1636821600
101,Spokane,47.6166,-117.3677,4.87,97,90,0.0,US,1636821270
102,Frisco,33.1507,-96.8236,14.02,39,69,0.45,US,1636821565
103,Moreno Valley,33.9375,-117.2306,28.18,25,1,0.0,US,1636821621
104,Tacoma,47.2529,-122.4443,9.16,97,90,0.0,US,1636821604
105,Fontana,34.0922,-117.4351,28.71,27,1,0.45,US,1636821412
106,Modesto,37.6391,-120.9969,16.5,100,90,0.0,US,1636821542
107,Baton Rouge,30.4508,-91.1545,13.88,51,0,1.34,US,1636821593
108,Port St. Lucie,27.2939,-80.3503,27.78,68,1,2.68,US,1636821622
109,San Bernardino,34.6667,-116.1675,23.75,23,0,1.87,US,1636821622
110,McKinney,33.1976,-96.6153,14.07,39,1,0.0,US,1636821621
111,Fayetteville,35.0527,-78.8784,21.05,47,1,3.13,US,1636821351
112,Santa Clarita,34.3917,-118.5426,28.75,24,1,5.36,US,1636821494
113,Des Moines,41.6005,-93.6091,1.28,75,90,1.34,US,1636821413
114,Oxnard,34.1975,-119.177,30.51,33,1,3.6,US,1636821623
115,Birmingham,33.5207,-86.8025,11.4,58,20,5.14,US,1636821467
116,Spring Valley,36.108,-115.245,20.2,33,20,1.54,US,1636821624
117,Huntsville,34.7304,-86.5861,9.19,54,1,0.89,US,1636821358
118,Rochester,43.1548,-77.6156,4.32,90,90,1.79,US,1636821402
119,Cape Coral,26.5629,-81.9495,29.05,74,20,1.79,US,1636821624
120,Tempe,33.4148,-111.9093,25.17,26,20,0.89,US,1636821348
121,Grand Rapids,42.9634,-85.6681,5.39,90,75,1.79,US,1636821383
122,Yonkers,40.9312,-73.8988,17.83,52,1,1.34,US,1636821488
123,Overland Park,38.9822,-94.6708,4.39,67,1,0.45,US,1636821625
124,Salt Lake City,40.7608,-111.8911,14.67,63,40,3.09,US,1636821362
125,Amarillo,35.222,-101.8313,14.26,34,6,2.68,US,1636821515
126,Augusta,48.3667,10.8833,7.9,95,75,2.06,DE,1636821625
127,Columbus,39.9612,-82.9988,5.11,75,90,4.02,US,1636821361
128,Tallahassee,30.4383,-84.2807,20.48,59,20,0.45,US,1636821626
129,Montgomery,39.1501,-77.1997,12.44,80,90,4.02,US,1636821404
130,Huntington Beach,33.6603,-117.9992,29.83,45,1,1.54,US,1636821626
131,Akron,41.0814,-81.519,3.72,81,90,5.66,US,1636821354
132,Little Rock,34.7465,-92.2896,8.84,51,20,3.58,US,1636821627
133,Glendale,33.5387,-112.186,25.23,26,1,0.0,US,1636821352
134,Grand Prairie,32.746,-96.9978,14.81,39,1,0.0,US,1636821627
135,Aurora,39.7294,-104.8319,17.04,29,75,0.89,US,1636821477
136,Sunrise Manor,36.2111,-115.0731,21.28,36,1,0.0,US,1636821627
137,Ontario,34.0633,-117.6509,29.18,29,1,0.0,US,1636821394
138,Sioux Falls,43.55,-96.7003,-2.24,84,75,4.63,US,1636821451
139,Knoxville,35.9606,-83.9207,8.49,59,75,0.0,US,1636821367
140,Vancouver,49.2497,-123.1193,8.81,94,90,0.89,CA,1636821135
141,Mobile,30.7835,-88.2,14.24,49,1,4.63,US,1636821407
142,Worcester,42.3334,-71.8328,15.44,56,1,0.89,US,1636821360
143,Chattanooga,35.0456,-85.3097,9.06,56,20,0.45,US,1636821573
144,Brownsville,25.9018,-97.4975,24.97,61,1,3.58,US,1636821578
145,Peoria,40.7667,-89.7668,4.5,75,90,4.63,US,1636821628
146,Fort Lauderdale,26.1223,-80.1434,30.01,71,75,1.54,US,1636821343
147,Shreveport,32.5251,-93.7502,11.67,42,1,5.66,US,1636821629
148,Newport News,36.9788,-76.428,20.54,48,20,6.69,US,1636821629
149,Providence,41.824,-71.4128,16.76,58,1,0.45,US,1636821336
150,Elk Grove,38.4088,-121.3716,18.93,99,90,1.54,US,1636821531
151,Rancho Cucamonga,34.1064,-117.5931,29.06,28,1,0.0,US,1636821630
152,Salem,11.65,78.1667,22.8,94,96,1.07,IN,1636821630
153,Pembroke Pines,26.0032,-80.2239,30.0,70,1,4.12,US,1636821630
154,Santa Rosa,14.3122,121.1114,27.28,79,55,2.34,PH,1636821631
155,Eugene,44.0521,-123.0867,14.64,96,90,2.06,US,1636821577
156,Oceanside,33.1959,-117.3795,29.6,35,1,1.79,US,1636821334
157,Cary,35.7915,-78.7811,19.68,48,1,1.34,US,1636821484
158,Fort Collins,40.5853,-105.0844,18.18,31,1,3.58,US,1636821436
159,Corona,33.8753,-117.5664,30.06,35,1,0.0,US,1636821401
160,Enterprise,36.0252,-115.2419,19.84,34,20,0.45,US,1636821632
161,Garden Grove,33.7739,-117.9415,30.04,40,1,0.0,US,1636821632
162,Springfield,37.2153,-93.2982,4.18,68,1,0.45,US,1636821405
163,Clarksville,36.5298,-87.3595,7.48,61,20,4.12,US,1636821632
164,Bayamon,18.3986,-66.1557,30.43,74,75,1.34,PR,1636821386
165,Lakewood,39.7047,-105.0814,16.83,30,100,1.34,US,1636821455
166,Alexandria,31.2156,29.9553,22.98,64,40,4.12,EG,1636821633
167,Hayward,37.6688,-122.0808,20.4,83,90,2.06,US,1636821574
168,Murfreesboro,35.8456,-86.3903,7.73,54,20,2.06,US,1636821573
169,Killeen,31.1171,-97.7278,17.17,35,1,0.0,US,1636821634
170,Hollywood,34.0983,-118.3267,29.89,28,1,0.45,US,1636821422
171,Lancaster,40.2504,-76.2499,14.28,89,90,1.79,US,1636821515
172,Salinas,36.6777,-121.6555,21.49,76,1,3.09,US,1636821634
173,Jackson,42.4165,-122.8345,11.0,96,90,1.54,US,1636821634
174,Midland,31.9974,-102.0779,17.49,35,1,5.66,US,1636821617
175,Macon County,39.8667,-88.9668,3.26,65,90,6.17,US,1636821635
176,Kansas City,39.0997,-94.5786,4.54,65,1,3.09,US,1636821335
177,Palmdale,34.5794,-118.1165,26.77,31,0,3.13,US,1636821422
178,Sunnyvale,37.3688,-122.0363,20.8,81,90,0.0,US,1636821339
179,Springfield,37.2153,-93.2982,4.18,68,1,0.45,US,1636821405
180,Escondido,33.1192,-117.0864,29.15,30,1,0.89,US,1636821541
181,Pomona,34.0553,-117.7523,28.95,29,1,0.0,US,1636821635
182,Bellevue,47.6104,-122.2007,9.3,94,90,0.45,US,1636821451
183,Surprise,33.6306,-112.3332,25.8,25,1,0.89,US,1636821636
184,Naperville,41.7859,-88.1473,4.3,77,90,1.34,US,1636821407
185,Pasadena,29.6911,-95.2091,17.43,39,20,1.34,US,1636821636
186,Denton,33.2001,-97.1336,14.17,43,1,0.45,US,1636821519
187,Roseville,38.7521,-121.288,21.64,97,90,0.0,US,1636821548
188,Joliet,41.525,-88.0817,4.65,83,90,0.45,US,1636821566
189,Thornton,39.868,-104.9719,17.21,29,75,2.68,US,1636821582
190,McAllen,26.2034,-98.23,24.77,51,20,7.2,US,1636821633
191,Paterson,40.9168,-74.1718,18.38,57,40,0.45,US,1636821603
192,Rockford,42.2711,-89.094,3.26,70,90,5.14,US,1636821438
193,Carrollton,32.9537,-96.8903,14.47,41,75,0.89,US,1636821637
194,Bridgeport,41.167,-73.2048,17.21,71,1,4.47,US,1636821637
195,Miramar,25.9873,-80.2323,30.01,70,1,4.12,US,1636821393
196,Round Rock,30.5083,-97.6789,17.95,35,1,0.45,US,1636821540
197,Metairie,29.9841,-90.1528,14.46,53,1,2.68,US,1636821638
198,Olathe,38.8814,-94.8191,4.49,68,1,0.45,US,1636821638
199,Waco,31.5493,-97.1467,15.06,38,1,0.45,US,1636821639
