,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,Lubbock,33.6001,-101.8338,11.32,15,20,2.24,US,1637263293
85,Madison,34.7334,-86.5667,9.1,87,90,0.45,US,1637263294
86,Gilbert,33.3528,-111.789,27.9,20,1,0.45,US,1637263062
87,Jersey City,40.7282,-74.0776,22.93,53,20,4.92,US,1637263260
88,Glendale,33.5387,-112.186,28.07,19,1,1.34,US,1637263264
89,Buffalo,42.8865,-78.8784,9.18,73,75,8.75,US,1637262881
90,Winston-Salem,36.0999,-80.2442,23.79,52,20,5.66,US,1637263164
91,Chesapeake,36.819,-76.2749,25.1,57,75,3.58,US,1637263286
92,Fremont,37.5483,-121.9886,18.21,72,1,0.45,US,1637263062
93,Norfolk,42.1668,-71.2495,21.94,59,1,0.45,US,1637263295
94,Irving,32.814,-96.9489,16.96,21,20,4.63,US,1637263092
95,Garland,32.9126,-96.6389,16.81,24,1,1.34,US,1637263167
96,Paradise,36.0972,-115.1467,19.12,18,75,1.34,US,1637263296
97,Arlington,32.7357,-97.1081,16.69,23,1,4.47,US,1637263251
98,Richmond,37.5538,-77.4603,26.15,45,20,4.02,US,1637263296
99,Hialeah,25.8576,-80.2781,27.01,83,20,3.09,US,1637263263
100,Boise,43.6135,-116.2035,7.33,48,90,0.0,US,1637263297
101,Spokane,47.6166,-117.3677,2.41,65,90,0.45,US,1637263281
102,Frisco,33.1507,-96.8236,16.54,23,4,3.13,US,1637263289
103,Moreno Valley,33.9375,-117.2306,26.92,34,1,0.89,US,1637263297
104,Tacoma,47.2529,-122.4443,10.05,76,90,0.45,US,1637263093
105,Fontana,34.0922,-117.4351,27.73,40,1,0.89,US,1637263295
106,Modesto,37.6391,-120.9969,19.21,94,90,1.54,US,1637263191
107,Baton Rouge,30.4508,-91.1545,27.72,80,90,3.13,US,1637263183
108,Port St. Lucie,27.2939,-80.3503,26.68,78,75,1.34,US,1637263275
109,San Bernardino,34.6667,-116.1675,23.75,13,100,3.42,US,1637263298
110,McKinney,33.1976,-96.6153,16.66,24,1,8.23,US,1637263123
111,Fayetteville,35.0527,-78.8784,25.23,66,90,5.66,US,1637263010
112,Santa Clarita,34.3917,-118.5426,23.8,42,1,0.45,US,1637263299
113,Des Moines,41.6005,-93.6091,3.45,51,20,2.24,US,1637263291
114,Oxnard,34.1975,-119.177,25.59,74,1,3.6,US,1637263299
115,Birmingham,33.5207,-86.8025,22.34,97,90,8.75,US,1637263108
116,Spring Valley,36.108,-115.245,20.79,18,75,0.89,US,1637263300
117,Huntsville,34.7304,-86.5861,9.9,87,90,1.34,US,1637263006
118,Rochester,43.1548,-77.6156,8.57,91,90,1.79,US,1637263190
119,Cape Coral,26.5629,-81.9495,24.48,93,90,1.54,US,1637263301
120,Tempe,33.4148,-111.9093,28.01,19,40,1.34,US,1637263301
121,Grand Rapids,42.9634,-85.6681,2.5,70,90,1.79,US,1637263067
122,Yonkers,40.9312,-73.8988,21.83,56,1,5.66,US,1637263302
123,Overland Park,38.9822,-94.6708,9.62,32,1,1.34,US,1637263302
124,Salt Lake City,40.7608,-111.8911,11.85,39,75,1.54,US,1637262960
125,Amarillo,35.222,-101.8313,11.43,21,1,1.34,US,1637263209
126,Augusta,48.3667,10.8833,4.72,95,0,1.54,DE,1637263302
127,Columbus,39.9612,-82.9988,7.84,53,90,0.45,US,1637263272
128,Tallahassee,30.4383,-84.2807,28.11,68,75,0.89,US,1637263151
129,Montgomery,39.1501,-77.1997,23.8,46,1,2.24,US,1637263303
130,Huntington Beach,33.6603,-117.9992,24.64,80,90,0.45,US,1637263303
131,Akron,41.0814,-81.519,8.14,52,1,10.8,US,1637263215
132,Little Rock,34.7465,-92.2896,14.07,31,40,5.81,US,1637263279
133,Glendale,33.5387,-112.186,28.07,19,1,1.34,US,1637263264
134,Grand Prairie,32.746,-96.9978,16.97,20,1,7.72,US,1637263304
135,Aurora,39.7294,-104.8319,16.56,17,75,0.89,US,1637263253
136,Sunrise Manor,36.2111,-115.0731,19.58,17,1,0.0,US,1637263305
137,Ontario,34.0633,-117.6509,28.19,47,90,1.79,US,1637263126
138,Sioux Falls,43.55,-96.7003,-0.08,59,20,6.69,US,1637263008
139,Knoxville,35.9606,-83.9207,14.78,88,90,2.06,US,1637263274
140,Vancouver,49.2497,-123.1193,5.53,92,90,1.79,CA,1637263028
141,Mobile,30.7835,-88.2,26.88,67,75,0.45,US,1637263223
142,Worcester,42.3334,-71.8328,20.61,58,20,0.89,US,1637263306
143,Chattanooga,35.0456,-85.3097,17.31,78,90,0.45,US,1637263079
144,Brownsville,25.9018,-97.4975,22.17,97,90,10.29,US,1637263105
145,Peoria,40.7667,-89.7668,3.25,53,40,8.75,US,1637263060
146,Fort Lauderdale,26.1223,-80.1434,27.02,81,75,4.12,US,1637263089
147,Shreveport,32.5251,-93.7502,16.14,34,1,6.69,US,1637263063
148,Newport News,36.9788,-76.428,25.09,61,20,9.26,US,1637263162
149,Providence,41.824,-71.4128,22.06,64,20,1.79,US,1637263208
150,Elk Grove,38.4088,-121.3716,18.98,85,1,0.45,US,1637263244
151,Rancho Cucamonga,34.1064,-117.5931,27.75,45,90,1.34,US,1637263245
152,Salem,11.65,78.1667,21.64,98,100,1.45,IN,1637263112
153,Pembroke Pines,26.0032,-80.2239,27.01,83,75,3.09,US,1637263307
154,Santa Rosa,14.3122,121.1114,27.73,85,56,0.8,PH,1637263292
155,Eugene,44.0521,-123.0867,10.86,80,90,0.45,US,1637263107
156,Oceanside,33.1959,-117.3795,25.41,80,75,1.79,US,1637263252
157,Cary,35.7915,-78.7811,24.51,64,75,2.68,US,1637263290
158,Fort Collins,40.5853,-105.0844,13.68,32,1,1.34,US,1637263247
159,Corona,33.8753,-117.5664,28.81,51,1,3.6,US,1637263308
160,Enterprise,36.0252,-115.2419,20.43,19,75,1.34,US,1637263308
161,Garden Grove,33.7739,-117.9415,26.36,80,75,0.45,US,1637263309
162,Springfield,37.2153,-93.2982,10.64,29,1,4.92,US,1637263264
163,Clarksville,36.5298,-87.3595,10.94,40,1,0.45,US,1637263283
164,Bayamon,18.3986,-66.1557,29.95,79,75,0.89,PR,1637263049
165,Lakewood,39.7047,-105.0814,16.35,16,50,0.45,US,1637263021
166,Alexandria,31.2156,29.9553,20.98,64,40,5.14,EG,1637263279
167,Hayward,37.6688,-122.0808,18.01,69,1,0.0,US,1637263310
168,Murfreesboro,35.8456,-86.3903,11.62,74,40,4.12,US,1637263088
169,Killeen,31.1171,-97.7278,17.92,25,20,5.66,US,1637263311
170,Hollywood,34.0983,-118.3267,24.79,70,20,1.54,US,1637263311
171,Lancaster,40.2504,-76.2499,22.72,54,20,0.89,US,1637263311
172,Salinas,36.6777,-121.6555,18.45,81,20,1.54,US,1637263312
173,Jackson,42.4165,-122.8345,14.58,71,40,2.06,US,1637263312
174,Midland,31.9974,-102.0779,12.81,16,1,6.69,US,1637263047
175,Macon County,39.8667,-88.9668,7.06,39,1,6.69,US,1637263293
176,Kansas City,39.0997,-94.5786,9.98,32,1,8.05,US,1637263127
177,Palmdale,34.5794,-118.1165,23.06,24,1,0.89,US,1637263313
178,Sunnyvale,37.3688,-122.0363,18.14,69,1,0.45,US,1637263137
179,Springfield,37.2153,-93.2982,10.64,29,1,4.92,US,1637263264
180,Escondido,33.1192,-117.0864,25.71,70,90,0.45,US,1637263070
181,Pomona,34.0553,-117.7523,27.19,52,1,0.89,US,1637263069
182,Bellevue,47.6104,-122.2007,10.32,67,90,0.45,US,1637262916
183,Surprise,33.6306,-112.3332,27.81,20,1,0.89,US,1637263100
184,Naperville,41.7859,-88.1473,1.1,62,90,1.34,US,1637263314
185,Pasadena,29.6911,-95.2091,22.4,61,1,2.68,US,1637263314
186,Denton,33.2001,-97.1336,16.57,25,1,1.34,US,1637263315
187,Roseville,38.7521,-121.288,21.74,83,1,0.45,US,1637263212
188,Joliet,41.525,-88.0817,1.79,63,90,2.24,US,1637263315
189,Thornton,39.868,-104.9719,16.73,21,40,1.34,US,1637263167
190,McAllen,26.2034,-98.23,16.06,100,90,7.72,US,1637263316
191,Paterson,40.9168,-74.1718,22.12,54,1,2.68,US,1637263203
192,Rockford,42.2711,-89.094,1.26,51,90,7.2,US,1637263284
193,Carrollton,32.9537,-96.8903,16.94,23,1,2.24,US,1637263316
194,Bridgeport,41.167,-73.2048,21.47,66,1,0.45,US,1637263317
195,Miramar,25.9873,-80.2323,27.01,83,75,3.09,US,1637263317
196,Round Rock,30.5083,-97.6789,17.48,41,75,1.34,US,1637263249
197,Metairie,29.9841,-90.1528,27.22,69,1,1.79,US,1637263222
198,Olathe,38.8814,-94.8191,9.88,33,1,0.89,US,1637263035
199,Waco,31.5493,-97.1467,18.41,27,1,3.13,US,1637263318
