City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Glendale,33.5387,-112.186,26.94,21,40,0.0,US,1637282688
Buffalo,42.8865,-78.8784,6.68,63,75,5.14,US,1637282811
Winston-Salem,36.0999,-80.2442,21.03,66,90,2.06,US,1637282981
Chesapeake,36.819,-76.2749,21.1,74,20,2.24,US,1637282708
Fremont,37.5483,-121.9886,16.71,80,75,1.34,US,1637282444
Norfolk,42.1668,-71.2495,16.13,83,1,0.45,US,1637282982
Irving,32.814,-96.9489,12.86,32,20,1.54,US,1637282982
Garland,32.9126,-96.6389,12.92,35,1,0.89,US,1637282750
Paradise,36.0972,-115.1467,19.28,20,75,0.0,US,1637282785
Arlington,32.7357,-97.1081,12.79,32,1,1.34,US,1637282887
Richmond,37.5538,-77.4603,21.27,66,75,2.68,US,1637282985
Hialeah,25.8576,-80.2781,24.45,92,40,3.09,US,1637282889
Boise,43.6135,-116.2035,8.3,49,90,3.6,US,1637282781
Spokane,47.6166,-117.3677,1.57,90,90,0.45,US,1637282867
Frisco,33.1507,-96.8236,12.64,32,0,0.89,US,1637282931
Moreno Valley,33.9375,-117.2306,21.78,53,1,0.45,US,1637282987
Tacoma,47.2529,-122.4443,6.66,94,90,3.13,US,1637282705
Fontana,34.0922,-117.4351,22.59,54,1,3.6,US,1637282926
Modesto,37.6391,-120.9969,17.54,83,1,2.06,US,1637282901
Baton Rouge,30.4508,-91.1545,15.49,82,90,1.34,US,1637282960
Port St. Lucie,27.2939,-80.3503,25.57,85,40,1.34,US,1637282791
San Bernardino,34.6667,-116.1675,22.48,18,100,2.25,US,1637282988
McKinney,33.1976,-96.6153,12.67,32,1,2.57,US,1637282746
Fayetteville,35.0527,-78.8784,20.72,76,1,0.89,US,1637282988
Santa Clarita,34.3917,-118.5426,21.85,54,1,0.45,US,1637282989
Des Moines,41.6005,-93.6091,0.0,64,1,3.6,US,1637282738
Oxnard,34.1975,-119.177,22.63,83,40,4.12,US,1637282820
Birmingham,33.5207,-86.8025,10.93,80,40,4.63,US,1637282990
Spring Valley,36.108,-115.245,19.52,21,75,0.0,US,1637282990
Huntsville,34.7304,-86.5861,7.12,89,75,0.45,US,1637282990
Rochester,43.1548,-77.6156,6.8,76,90,0.45,US,1637282708
Cape Coral,26.5629,-81.9495,23.0,95,1,0.45,US,1637282959
Tempe,33.4148,-111.9093,26.88,20,75,1.34,US,1637282708
Grand Rapids,42.9634,-85.6681,1.97,89,90,1.79,US,1637282992
Yonkers,40.9312,-73.8988,18.81,63,90,3.6,US,1637282824
Overland Park,38.9822,-94.6708,5.84,47,1,0.45,US,1637282737
Salt Lake City,40.7608,-111.8911,9.44,55,90,0.45,US,1637282992
Amarillo,35.222,-101.8313,8.67,25,1,1.79,US,1637282849
Augusta,48.3667,10.8833,3.64,95,63,0.0,DE,1637282993
Columbus,39.9612,-82.9988,5.29,59,40,1.34,US,1637282846
Tallahassee,30.4383,-84.2807,20.52,93,75,0.0,US,1637282769
Montgomery,39.1501,-77.1997,14.68,84,90,2.68,US,1637282994
Huntington Beach,33.6603,-117.9992,21.75,84,90,0.45,US,1637282781
Akron,41.0814,-81.519,4.48,58,75,1.34,US,1637282994
Little Rock,34.7465,-92.2896,8.6,54,1,0.0,US,1637282834
Glendale,33.5387,-112.186,26.94,21,40,0.0,US,1637282688
Grand Prairie,32.746,-96.9978,12.79,30,1,2.57,US,1637282995
Aurora,39.7294,-104.8319,7.7,33,40,0.89,US,1637282866
Sunrise Manor,36.2111,-115.0731,19.73,19,1,3.6,US,1637282996
Ontario,34.0633,-117.6509,23.06,58,90,0.45,US,1637282785
Sioux Falls,43.55,-96.7003,-2.81,68,40,0.0,US,1637282868
Knoxville,35.9606,-83.9207,6.99,87,75,0.0,US,1637282979
Vancouver,49.2497,-123.1193,5.53,95,90,2.24,CA,1637282513
Mobile,30.7835,-88.2,21.63,94,75,5.66,US,1637282867
Worcester,42.3334,-71.8328,15.31,80,1,1.79,US,1637282997
Chattanooga,35.0456,-85.3097,8.12,72,1,1.34,US,1637282910
Brownsville,25.9018,-97.4975,17.06,77,90,2.24,US,1637282901
Peoria,40.7667,-89.7668,1.05,59,1,4.63,US,1637282998
Fort Lauderdale,26.1223,-80.1434,25.57,92,75,2.57,US,1637282895
Shreveport,32.5251,-93.7502,13.12,37,1,3.09,US,1637282998
Newport News,36.9788,-76.428,21.1,75,1,4.12,US,1637282808
Providence,41.824,-71.4128,15.85,87,1,0.45,US,1637282999
Elk Grove,38.4088,-121.3716,16.87,85,1,0.45,US,1637282939
Rancho Cucamonga,34.1064,-117.5931,22.61,57,90,1.34,US,1637282787
Salem,11.65,78.1667,21.48,97,100,1.14,IN,1637283000
Pembroke Pines,26.0032,-80.2239,25.57,91,75,2.06,US,1637283000
Santa Rosa,14.3122,121.1114,31.16,77,85,2.02,PH,1637282795
Eugene,44.0521,-123.0867,13.47,84,90,0.89,US,1637283001
Oceanside,33.1959,-117.3795,19.9,86,75,0.89,US,1637282721
Cary,35.7915,-78.7811,19.25,81,40,3.09,US,1637282715
Fort Collins,40.5853,-105.0844,6.4,40,1,0.45,US,1637282708
Corona,33.8753,-117.5664,23.07,64,1,2.57,US,1637282749
Enterprise,36.0252,-115.2419,19.16,22,75,0.45,US,1637283002
Garden Grove,33.7739,-117.9415,22.91,80,75,2.06,US,1637282937
Springfield,37.2153,-93.2982,5.01,52,1,0.0,US,1637282728
Clarksville,36.5298,-87.3595,7.1,39,1,2.06,US,1637283003
Bayamon,18.3986,-66.1557,26.95,64,40,0.89,PR,1637283003
Lakewood,39.7047,-105.0814,7.5,31,38,0.45,US,1637282852
Alexandria,31.2156,29.9553,19.98,73,40,5.14,EG,1637283004
Hayward,37.6688,-122.0808,16.58,81,1,0.89,US,1637282772
Murfreesboro,35.8456,-86.3903,6.91,75,1,0.0,US,1637283005
Killeen,31.1171,-97.7278,13.97,29,1,4.12,US,1637282939
Hollywood,34.0983,-118.3267,23.06,76,1,0.45,US,1637282756
Lancaster,40.2504,-76.2499,12.54,83,90,2.68,US,1637282719
Salinas,36.6777,-121.6555,16.5,78,75,5.14,US,1637283006
Jackson,42.4165,-122.8345,15.0,68,90,1.54,US,1637283006
Midland,31.9974,-102.0779,11.37,19,1,2.57,US,1637282744
Macon County,39.8667,-88.9668,2.03,51,1,5.66,US,1637282797
Kansas City,39.0997,-94.5786,6.2,47,0,0.45,US,1637282674
Palmdale,34.5794,-118.1165,20.93,27,1,0.0,US,1637282914
Sunnyvale,37.3688,-122.0363,16.58,75,1,0.45,US,1637282943
Springfield,37.2153,-93.2982,5.01,52,1,0.0,US,1637282728
Escondido,33.1192,-117.0864,19.47,80,40,1.79,US,1637283009
Pomona,34.0553,-117.7523,22.75,65,1,1.34,US,1637283009
Bellevue,47.6104,-122.2007,6.86,90,90,0.45,US,1637283010
Surprise,33.6306,-112.3332,26.57,23,1,0.0,US,1637283010
Naperville,41.7859,-88.1473,0.71,65,90,0.89,US,1637283011
Pasadena,29.6911,-95.2091,17.02,72,90,0.89,US,1637283011
Denton,33.2001,-97.1336,12.67,38,1,2.06,US,1637282862
Roseville,38.7521,-121.288,17.94,89,1,0.45,US,1637282874
Joliet,41.525,-88.0817,1.13,67,90,0.45,US,1637283012
Thornton,39.868,-104.9719,8.59,36,1,0.45,US,1637282977
McAllen,26.2034,-98.23,17.95,72,75,4.63,US,1637283012
Paterson,40.9168,-74.1718,19.86,61,90,1.79,US,1637282975
Rockford,42.2711,-89.094,0.67,54,7,6.95,US,1637283013
Carrollton,32.9537,-96.8903,12.76,33,20,1.54,US,1637283013
Bridgeport,41.167,-73.2048,17.19,86,62,0.45,US,1637283014
Miramar,25.9873,-80.2323,25.57,91,75,2.06,US,1637283014
Round Rock,30.5083,-97.6789,14.99,40,1,2.68,US,1637282941
Metairie,29.9841,-90.1528,18.0,78,90,3.13,US,1637283015
Olathe,38.8814,-94.8191,5.95,48,1,0.0,US,1637283015
Waco,31.5493,-97.1467,14.2,31,1,2.24,US,1637283016
